id_player,first_activity_year,Won
A777,2009,0
F018,1980,8
P222,1987,35
J622,1932,15
MF93,2006,0
CH66,2013,0
R435,No data,No data
R353,No data,No data
KE84,2014,0
B518,1994,122
CO00,2015,0
J144,1998,0
V135,No data,No data
PL42,2014,0
G460,1998,0
N336,1999,0
A005,1979,10
G474,1998,0
PL56,2014,162
R347,1994,0
C612,2001,0
MO39,No data,No data
KE90,2012,0
L521,2000,0
S059,1973,39
J150,1995,0
MF87,No data,No data
J636,2013,0
CH72,2013,0
T050,1960,399
K528,1999,1
R421,1998,2
H021,1988,0
V647,2008,0
W559,No data,No data
A763,No data,No data
GJ14,No data,No data
F583,No data,No data
AE32,2013,0
HB70,2012,0
GA43,No data,No data
KG79,2013,0
CC25,2007,0
L910,2006,0
B0M8,2022,0
R810,2005,0
B083,1985,8
K919,No data,No data
CD43,2008,0
BI85,2010,0
GF25,No data,No data
N861,2013,0
AB54,2011,0
PG01,No data,No data
GF31,2015,0
BP78,2013,0
AB40,2010,0
PG15,2011,0
B097,No data,No data
BG49,No data,No data
CD57,No data,No data
C389,No data,No data
DC38,2012,0
BI91,2009,0
B929,2000,11
CC31,2007,0
D380,1998,0
L904,2005,0
F597,2004,0
HB64,2012,28
GA57,2007,0
KG45,2013,0
CC19,2006,0
R192,No data,No data
B0N4,No data,No data
G879,2008,0
H592,2004,0
BP50,2013,0
GF19,2013,0
V492,2004,0
W954,1896,17
AB68,2011,0
N685,2012,0
T285,1998,0
K925,2005,0
BG61,2008,0
M398,1992,0
T291,1998,0
K931,2006,0
R838,2005,0
BG75,2008,0
DC04,2013,0
BP44,2013,0
MS77,No data,No data
N849,2013,0
PG29,2011,0
N691,2010,0
H586,2001,0
HB58,2017,0
KG51,No data,No data
R186,1988,179
KI89,2015,0
L938,2007,0
S298,1986,0
J391,2009,0
KI62,2015,0
B726,1998,0
MM13,2010,0
C438,1998,0
K064,1979,1
D357,1998,69
O202,1968,0
GA80,2007,0
W015,1984,0
AB97,2011,0
W773,1964,0
O564,2015,0
K702,2002,0
CD80,No data,No data
MJ75,No data,No data
U164,No data,No data
BI46,2009,0
B040,1985,161
CJ58,2014,0
M373,1987,2
CD94,2008,0
MJ61,2008,0
B054,1977,34
M367,No data,No data
J408,2008,0
AB83,2011,0
P008,1979,104
O570,2013,0
H579,No data,No data
O216,No data,No data
GA94,2007,11
W001,1985,23
G892,2004,19
KI76,No data,No data
B732,1998,0
M401,1988,2
MM07,2010,0
D343,1998,0
G662,No data,No data
V337,2002,0
W029,1981,115
B0B7,2016,0
E075,No data,No data
J346,2005,0
U158,2013,0
MJ49,2008,0
E713,2009,0
J420,2008,0
GH02,2013,0
N646,No data,No data
O558,2013,0
P034,1973,139
N652,2009,3
BP87,1938,0
H223,1988,267
R623,No data,No data
L045,1965,468
C376,No data,No data
B068,1987,0
E707,No data,No data
J434,2011,0
MD85,2003,0
E061,1985,24
B0C3,2016,0
J352,2005,0
G676,2001,97
V323,1999,0
A207,1992,0
HC04,No data,No data
AD46,1971,1
G931,2005,0
A398,No data,No data
FC29,2015,0
B691,1998,0
CL89,No data,No data
L864,2005,0
LA62,No data,No data
B849,2000,0
CB51,2006,0
DB58,2013,0
E840,2011,0
CE37,2009,0
D586,No data,No data
E698,2006,31
BF29,2006,0
EA46,No data,No data
R964,2006,1
PF75,No data,No data
AC20,2011,0
F391,1999,0
HD62,2013,0
GG51,No data,No data
PF61,No data,No data
AC34,2012,0
E854,2012,0
LF10,1928,31
CE23,2009,0
R970,2006,0
K879,No data,No data
B685,No data,No data
L870,2005,0
C0R2,No data,No data
LA76,No data,No data
CB45,2007,0
KF19,2013,0
PA07,2004,0
G925,2005,4
L858,2005,11
KF31,2013,0
ML98,2011,0
DE02,2013,0
O389,2008,0
HC38,1961,0
FC15,No data,No data
N097,1955,3
PF49,2010,0
P197,1980,0
H380,1994,34
KA57,No data,No data
DB64,2011,1
K689,No data,No data
BF15,No data,No data
ME26,2004,0
K851,No data,No data
R958,2006,0
KA43,2007,0
E868,No data,No data
DB70,2012,0
R794,2004,0
BF01,2006,0
ME32,2004,0
K845,2004,0
P183,1956,7
AC08,No data,No data
H394,1995,0
PH85,1968,0
V294,1968,147
FC01,2014,0
G919,2005,0
CB79,2008,0
B861,2001,0
KF25,2013,0
DE16,No data,No data
CB92,No data,No data
ML67,No data,No data
BO54,No data,No data
B652,2000,0
M561,No data,No data
F434,2000,0
W161,1989,8
O376,2007,23
H419,1997,0
V519,No data,No data
O410,2008,0
GG92,2013,0
P168,1968,2
B134,1967,26
M207,No data,No data
MK01,2009,0
L119,1960,14
BH32,2008,0
E883,2013,0
K676,2001,0
D545,2001,0
S475,No data,No data
B120,1968,9
M213,1982,0
MK15,2010,0
BH26,2008,0
K662,2003,0
D551,2001,11
O404,2008,0
W613,2009,0
A429,1999,0
F420,No data,No data
O362,2007,0
K104,No data,No data
CB86,2006,0
D237,No data,No data
ML73,2012,0
BO40,1946,13
BA98,2002,123
A367,1998,0
N054,1981,0
H425,1998,0
G716,2002,0
R025,1985,1
C570,1998,6
E101,1989,0
J232,No data,No data
E667,2006,0
J554,No data,No data
T332,2000,1
K892,No data,No data
L125,1972,0
KA94,2007,0
C216,1986,194
H343,1995,0
PH52,2012,0
G070,1968,42
V525,No data,No data
N732,2011,125
P154,1932,85
H357,No data,No data
G064,1974,10
PH46,2012,0
O438,2009,0
V531,2015,0
A415,No data,No data
N726,2011,0
GI62,2015,0
E673,2005,2
J540,2015,0
CK04,2013,0
LH37,No data,No data
U038,1998,0
KA80,2007,7
MK29,2009,0
R757,2006,0
K138,1960,85
R031,1974,14
LA89,2008,0
L657,2001,0
M549,1992,1
A373,1998,2
W149,1987,0
H431,1997,6
G702,No data,No data
GE53,2011,0
A824,2006,0
MG18,2006,0
D784,2005,0
CG35,2013,1
LD06,2011,0
S878,1998,0
D0K9,No data,No data
BM95,2013,41
LC60,2012,0
H800,No data,No data
PC11,2005,128
GB35,2008,0
HA06,No data,No data
PC05,No data,No data
BT68,2016,4
GB21,No data,No data
HA12,2009,0
F839,2011,0
LC74,2011,0
B487,1996,41
D948,No data,No data
CG21,No data,No data
D790,2005,0
LD12,2012,0
GE47,2011,0
A830,No data,No data
